capability_id,component_type,component_name_ko,required_level,description_ko
CAP_OBJECT_DETECTION,HW,카메라 센서,required,영상 입력 장치
CAP_OBJECT_DETECTION,SW,객체 감지 모델,required,객체의 존재를 탐지하는 분석 모델
CAP_OBJECT_DETECTION,SW,객체 추적 모듈,optional,탐지된 객체를 연속적으로 추적
CAP_OBJECT_DETECTION,SW,알림 로직,optional,탐지 이벤트를 사용자에게 전달
CAP_OBJECT_DETECTION,SW,관심영역 설정 기능,optional,지정된 구역만 중점적으로 감지
CAP_PERSON_DETECTION,HW,카메라 센서,required,사람 탐지를 위한 시각 입력 장치
CAP_PERSON_DETECTION,SW,사람 탐지 모델,required,사람 객체를 탐지하는 분석 모델
CAP_PERSON_DETECTION,SW,추적 모듈,optional,탐지된 사람을 연속적으로 추적
CAP_PERSON_DETECTION,SW,감지 구역 설정,optional,사람 감지 구역을 설정
CAP_PERSON_DETECTION,SW,알림 로직,optional,사람 감지 이벤트를 알림
CAP_FACE_DETECTION,HW,카메라 센서,required,얼굴 입력 장치
CAP_FACE_DETECTION,SW,얼굴 검출 모델,required,얼굴의 존재와 위치를 검출
CAP_FACE_DETECTION,SW,얼굴 랜드마크 추출,optional,"눈, 코, 입 등 얼굴 특징점 추출"
CAP_FACE_DETECTION,SW,알림 로직,optional,얼굴 감지 이벤트를 알림
CAP_FACE_RECOGNITION,HW,카메라 센서,required,얼굴 입력 장치
CAP_FACE_RECOGNITION,SW,얼굴 검출 모델,required,얼굴 후보를 검출
CAP_FACE_RECOGNITION,SW,얼굴 인식/매칭 모듈,required,등록된 얼굴과 비교 또는 식별
CAP_FACE_RECOGNITION,SW,등록 기능,optional,사용자 얼굴 등록
CAP_FACE_RECOGNITION,SW,사용자 데이터베이스,optional,등록 사용자 정보 관리
CAP_FACE_RECOGNITION,SW,출입 제어 로직,optional,인식 결과를 출입 제어에 반영
CAP_SPEECH_RECOGNITION,HW,마이크,required,음성 입력 장치
CAP_SPEECH_RECOGNITION,SW,음성 인식 엔진(ASR),required,음성을 텍스트 또는 명령으로 변환
CAP_SPEECH_RECOGNITION,SW,호출어 감지,optional,특정 호출어를 인식
CAP_SPEECH_RECOGNITION,SW,명령 해석 모듈,optional,인식된 텍스트를 제어 명령으로 해석
CAP_SPEECH_RECOGNITION,SW,잡음 제거 모듈,optional,노이즈 환경에서 음성 품질 개선
CAP_SPEAKER_RECOGNITION,HW,마이크,required,화자 음성 입력 장치
CAP_SPEAKER_RECOGNITION,SW,화자 특징 추출 모듈,required,음성 특성 벡터 또는 보이스프린트 추출
CAP_SPEAKER_RECOGNITION,SW,화자 매칭 모듈,required,등록 화자와 비교 또는 인증
CAP_SPEAKER_RECOGNITION,SW,화자 등록 기능,optional,화자 정보 등록
CAP_SPEAKER_RECOGNITION,SW,사용자 데이터베이스,optional,등록 화자 정보 관리
CAP_ANOMALY_DETECTION,HW,상황 의존,required,"영상 기반이면 카메라, 센서 기반이면 해당 센서, 로그 기반이면 별도 HW 불필요"
CAP_ANOMALY_DETECTION,SW,이상 탐지 모델/판별 로직,required,비정상 상태나 이벤트를 탐지
CAP_ANOMALY_DETECTION,SW,정상 패턴 비교 로직,required,정상 기준과 비교하여 이상 여부 판단
CAP_ANOMALY_DETECTION,SW,이벤트 점수화,optional,이상 정도를 점수화
CAP_ANOMALY_DETECTION,SW,알림 로직,optional,이상 이벤트 발생 시 알림
CAP_ANOMALY_DETECTION,SW,이력 저장,optional,이상 이벤트 기록 저장
CAP_BEHAVIOR_ANALYSIS,HW,카메라 또는 동작 관련 센서,required,행동 분석을 위한 입력 장치
CAP_BEHAVIOR_ANALYSIS,SW,행동 인식 모듈,required,행동이나 자세를 인식
CAP_BEHAVIOR_ANALYSIS,SW,시간 흐름 분석 모듈,required,행동의 연속성과 시간 패턴 분석
CAP_BEHAVIOR_ANALYSIS,SW,추적 모듈,optional,대상 추적
CAP_BEHAVIOR_ANALYSIS,SW,이벤트 분류기,optional,행동 이벤트 유형 분류
CAP_BEHAVIOR_ANALYSIS,SW,시퀀스 모델링 모듈,optional,시간 순서 정보를 반영한 분석
CAP_RECOMMENDATION,HW,없음 또는 상황 의존,required,일반적으로 별도 HW는 필수가 아니나 상황에 따라 입력 장치가 필요할 수 있음
CAP_RECOMMENDATION,SW,추천 엔진,required,추천 후보를 생성
CAP_RECOMMENDATION,SW,순위화/점수화 로직,required,추천 우선순위를 계산
CAP_RECOMMENDATION,SW,사용자 프로필 모듈,optional,개인화 정보를 관리
CAP_RECOMMENDATION,SW,이력 추적 모듈,optional,사용자 이력을 반영
CAP_RECOMMENDATION,SW,상황 정보 모델링,optional,컨텍스트 정보를 반영
CAP_PATH_PLANNING_AVOIDANCE,HW,거리 센서 또는 카메라 또는 LiDAR,required,주변 환경과 장애물 인지
CAP_PATH_PLANNING_AVOIDANCE,HW,연산 장치,required,경로 계산 및 회피 판단 수행
CAP_PATH_PLANNING_AVOIDANCE,SW,경로 계획 알고리즘,required,이동 경로를 계산
CAP_PATH_PLANNING_AVOIDANCE,SW,장애물 탐지 및 회피 로직,required,장애물을 인지하고 회피 전략 수립
CAP_PATH_PLANNING_AVOIDANCE,SW,지도 생성 모듈,optional,주변 환경을 지도화
CAP_PATH_PLANNING_AVOIDANCE,SW,위치 추정 모듈,optional,현재 위치를 추정
CAP_PATH_PLANNING_AVOIDANCE,SW,SLAM 모듈,optional,동시적 위치추정 및 지도작성
